Organization,Department,Designation,Functional Role
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Other","Data Quality & Validation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Other","Research & Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Other","Economic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Other","Social Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Other","Demographic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Other","Statistical Computing"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Other","Data Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Other","Data Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Other","Policy Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Other","Programme Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Other","Monitoring & Evaluation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Other","Training & Capacity Building"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Other","Administration"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Other","Finance & Accounts"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Other","IT / Digital Systems"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Other","Database Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Other","AI / Machine Learning"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Other","Cyber Security"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Other","e-Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Other","Learning & Development"
"National Statistical Office (NSO)","Survey Design and Research","Director","Statistical Analysis"
"National Statistical Office (NSO)","Survey Design and Research","Director","Data Analysis"
"National Statistical Office (NSO)","Survey Design and Research","Director","Survey Operations"
"National Statistical Office (NSO)","Survey Design and Research","Director","Sampling"
"National Statistical Office (NSO)","Survey Design and Research","Director","Data Quality & Validation"
"National Statistical Office (NSO)","Survey Design and Research","Director","Research & Analysis"
"National Statistical Office (NSO)","Survey Design and Research","Director","Economic Statistics"
"National Statistical Office (NSO)","Survey Design and Research","Director","Social Statistics"
"National Statistical Office (NSO)","Survey Design and Research","Director","Demographic Statistics"
"National Statistical Office (NSO)","Survey Design and Research","Director","Statistical Computing"
"National Statistical Office (NSO)","Survey Design and Research","Director","Data Management"
"National Statistical Office (NSO)","Survey Design and Research","Director","Data Governance"
"National Statistical Office (NSO)","Survey Design and Research","Director","Policy Analysis"
"National Statistical Office (NSO)","Survey Design and Research","Director","Programme Management"
"National Statistical Office (NSO)","Survey Design and Research","Director","Monitoring & Evaluation"
"National Statistical Office (NSO)","Survey Design and Research","Director","Training & Capacity Building"
"National Statistical Office (NSO)","Survey Design and Research","Director","Administration"
"National Statistical Office (NSO)","Survey Design and Research","Director","Finance & Accounts"
"National Statistical Office (NSO)","Survey Design and Research","Director","IT / Digital Systems"
"National Statistical Office (NSO)","Survey Design and Research","Director","Database Management"
"National Statistical Office (NSO)","Survey Design and Research","Director","AI / Machine Learning"
"National Statistical Office (NSO)","Survey Design and Research","Director","Cyber Security"
"National Statistical Office (NSO)","Survey Design and Research","Director","e-Governance"
"National Statistical Office (NSO)","Survey Design and Research","Director","Learning & Development"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Statistical Analysis"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Data Analysis"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Survey Operations"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Sampling"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Data Quality & Validation"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Research & Analysis"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Economic Statistics"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Social Statistics"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Demographic Statistics"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Statistical Computing"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Data Management"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Data Governance"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Policy Analysis"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Programme Management"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Monitoring & Evaluation"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Training & Capacity Building"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Administration"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Finance & Accounts"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","IT / Digital Systems"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Database Management"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","AI / Machine Learning"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Cyber Security"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","e-Governance"
"National Statistical Office (NSO)","Survey Design and Research","Deputy Director","Learning & Development"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Statistical Analysis"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Data Analysis"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Survey Operations"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Sampling"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Data Quality & Validation"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Research & Analysis"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Economic Statistics"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Social Statistics"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Demographic Statistics"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Statistical Computing"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Data Management"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Data Governance"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Policy Analysis"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Programme Management"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Monitoring & Evaluation"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Training & Capacity Building"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Administration"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Finance & Accounts"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","IT / Digital Systems"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Database Management"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","AI / Machine Learning"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Cyber Security"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","e-Governance"
"National Statistical Office (NSO)","Survey Design and Research","Senior Statistical Officer","Learning & Development"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Statistical Analysis"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Data Analysis"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Survey Operations"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Sampling"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Data Quality & Validation"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Research & Analysis"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Economic Statistics"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Social Statistics"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Demographic Statistics"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Statistical Computing"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Data Management"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Data Governance"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Policy Analysis"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Programme Management"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Monitoring & Evaluation"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Training & Capacity Building"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Administration"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Finance & Accounts"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","IT / Digital Systems"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Database Management"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","AI / Machine Learning"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Cyber Security"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","e-Governance"
"National Statistical Office (NSO)","Survey Design and Research","Junior Statistical Officer","Learning & Development"
"National Statistical Office (NSO)","Survey Design and Research","Other","Statistical Analysis"
"National Statistical Office (NSO)","Survey Design and Research","Other","Data Analysis"
"National Statistical Office (NSO)","Survey Design and Research","Other","Survey Operations"
"National Statistical Office (NSO)","Survey Design and Research","Other","Sampling"
"National Statistical Office (NSO)","Survey Design and Research","Other","Data Quality & Validation"
"National Statistical Office (NSO)","Survey Design and Research","Other","Research & Analysis"
"National Statistical Office (NSO)","Survey Design and Research","Other","Economic Statistics"
"National Statistical Office (NSO)","Survey Design and Research","Other","Social Statistics"
"National Statistical Office (NSO)","Survey Design and Research","Other","Demographic Statistics"
"National Statistical Office (NSO)","Survey Design and Research","Other","Statistical Computing"
"National Statistical Office (NSO)","Survey Design and Research","Other","Data Management"
"National Statistical Office (NSO)","Survey Design and Research","Other","Data Governance"
"National Statistical Office (NSO)","Survey Design and Research","Other","Policy Analysis"
"National Statistical Office (NSO)","Survey Design and Research","Other","Programme Management"
"National Statistical Office (NSO)","Survey Design and Research","Other","Monitoring & Evaluation"
"National Statistical Office (NSO)","Survey Design and Research","Other","Training & Capacity Building"
"National Statistical Office (NSO)","Survey Design and Research","Other","Administration"
"National Statistical Office (NSO)","Survey Design and Research","Other","Finance & Accounts"
"National Statistical Office (NSO)","Survey Design and Research","Other","IT / Digital Systems"
"National Statistical Office (NSO)","Survey Design and Research","Other","Database Management"
"National Statistical Office (NSO)","Survey Design and Research","Other","AI / Machine Learning"
"National Statistical Office (NSO)","Survey Design and Research","Other","Cyber Security"
"National Statistical Office (NSO)","Survey Design and Research","Other","e-Governance"
"National Statistical Office (NSO)","Survey Design and Research","Other","Learning & Development"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Statistical Analysis"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Data Analysis"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Survey Operations"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Sampling"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Data Quality & Validation"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Research & Analysis"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Economic Statistics"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Social Statistics"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Demographic Statistics"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Statistical Computing"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Data Management"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Data Governance"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Policy Analysis"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Programme Management"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Monitoring & Evaluation"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Training & Capacity Building"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Administration"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Finance & Accounts"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","IT / Digital Systems"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Database Management"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","AI / Machine Learning"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Cyber Security"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","e-Governance"
"National Statistical Office (NSO)","Field Operations Division","Deputy Director General","Learning & Development"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Statistical Analysis"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Data Analysis"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Survey Operations"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Sampling"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Data Quality & Validation"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Research & Analysis"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Economic Statistics"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Social Statistics"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Demographic Statistics"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Statistical Computing"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Data Management"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Data Governance"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Policy Analysis"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Programme Management"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Monitoring & Evaluation"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Training & Capacity Building"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Administration"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Finance & Accounts"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","IT / Digital Systems"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Database Management"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","AI / Machine Learning"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Cyber Security"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","e-Governance"
"National Statistical Office (NSO)","Field Operations Division","Superintending Officer","Learning & Development"
"National Statistical Office (NSO)","Field Operations Division","Field Investigator","Survey Operations"
"National Statistical Office (NSO)","Field Operations Division","Field Investigator","Sampling"
"National Statistical Office (NSO)","Data Processing Division","Director","Statistical Analysis"
"National Statistical Office (NSO)","Data Processing Division","Director","Data Analysis"
"National Statistical Office (NSO)","Data Processing Division","Director","Survey Operations"
"National Statistical Office (NSO)","Data Processing Division","Director","Sampling"
"National Statistical Office (NSO)","Data Processing Division","Director","Data Quality & Validation"
"National Statistical Office (NSO)","Data Processing Division","Director","Research & Analysis"
"National Statistical Office (NSO)","Data Processing Division","Director","Economic Statistics"
"National Statistical Office (NSO)","Data Processing Division","Director","Social Statistics"
"National Statistical Office (NSO)","Data Processing Division","Director","Demographic Statistics"
"National Statistical Office (NSO)","Data Processing Division","Director","Statistical Computing"
"National Statistical Office (NSO)","Data Processing Division","Director","Data Management"
"National Statistical Office (NSO)","Data Processing Division","Director","Data Governance"
"National Statistical Office (NSO)","Data Processing Division","Director","Policy Analysis"
"National Statistical Office (NSO)","Data Processing Division","Director","Programme Management"
"National Statistical Office (NSO)","Data Processing Division","Director","Monitoring & Evaluation"
"National Statistical Office (NSO)","Data Processing Division","Director","Training & Capacity Building"
"National Statistical Office (NSO)","Data Processing Division","Director","Administration"
"National Statistical Office (NSO)","Data Processing Division","Director","Finance & Accounts"
"National Statistical Office (NSO)","Data Processing Division","Director","IT / Digital Systems"
"National Statistical Office (NSO)","Data Processing Division","Director","Database Management"
"National Statistical Office (NSO)","Data Processing Division","Director","AI / Machine Learning"
"National Statistical Office (NSO)","Data Processing Division","Director","Cyber Security"
"National Statistical Office (NSO)","Data Processing Division","Director","e-Governance"
"National Statistical Office (NSO)","Data Processing Division","Director","Learning & Development"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Statistical Analysis"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Data Analysis"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Survey Operations"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Sampling"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Data Quality & Validation"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Research & Analysis"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Economic Statistics"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Social Statistics"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Demographic Statistics"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Statistical Computing"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Data Management"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Data Governance"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Policy Analysis"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Programme Management"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Monitoring & Evaluation"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Training & Capacity Building"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Administration"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Finance & Accounts"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","IT / Digital Systems"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Database Management"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","AI / Machine Learning"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Cyber Security"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","e-Governance"
"National Statistical Office (NSO)","Data Processing Division","Deputy Director","Learning & Development"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Statistical Analysis"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Data Analysis"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Survey Operations"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Sampling"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Data Quality & Validation"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Research & Analysis"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Economic Statistics"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Social Statistics"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Demographic Statistics"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Statistical Computing"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Data Management"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Data Governance"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Policy Analysis"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Programme Management"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Monitoring & Evaluation"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Training & Capacity Building"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Administration"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Finance & Accounts"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","IT / Digital Systems"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Database Management"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","AI / Machine Learning"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Cyber Security"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","e-Governance"
"National Statistical Office (NSO)","Data Processing Division","Senior Statistical Officer","Learning & Development"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Statistical Analysis"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Data Analysis"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Survey Operations"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Sampling"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Data Quality & Validation"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Research & Analysis"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Economic Statistics"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Social Statistics"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Demographic Statistics"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Statistical Computing"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Data Management"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Data Governance"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Policy Analysis"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Programme Management"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Monitoring & Evaluation"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Training & Capacity Building"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Administration"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Finance & Accounts"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","IT / Digital Systems"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Database Management"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","AI / Machine Learning"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Cyber Security"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","e-Governance"
"National Statistical Office (NSO)","Data Processing Division","Junior Statistical Officer","Learning & Development"
"National Statistical Office (NSO)","Data Processing Division","Other","Statistical Analysis"
"National Statistical Office (NSO)","Data Processing Division","Other","Data Analysis"
"National Statistical Office (NSO)","Data Processing Division","Other","Survey Operations"
"National Statistical Office (NSO)","Data Processing Division","Other","Sampling"
"National Statistical Office (NSO)","Data Processing Division","Other","Data Quality & Validation"
"National Statistical Office (NSO)","Data Processing Division","Other","Research & Analysis"
"National Statistical Office (NSO)","Data Processing Division","Other","Economic Statistics"
"National Statistical Office (NSO)","Data Processing Division","Other","Social Statistics"
"National Statistical Office (NSO)","Data Processing Division","Other","Demographic Statistics"
"National Statistical Office (NSO)","Data Processing Division","Other","Statistical Computing"
"National Statistical Office (NSO)","Data Processing Division","Other","Data Management"
"National Statistical Office (NSO)","Data Processing Division","Other","Data Governance"
"National Statistical Office (NSO)","Data Processing Division","Other","Policy Analysis"
"National Statistical Office (NSO)","Data Processing Division","Other","Programme Management"
"National Statistical Office (NSO)","Data Processing Division","Other","Monitoring & Evaluation"
"National Statistical Office (NSO)","Data Processing Division","Other","Training & Capacity Building"
"National Statistical Office (NSO)","Data Processing Division","Other","Administration"
"National Statistical Office (NSO)","Data Processing Division","Other","Finance & Accounts"
"National Statistical Office (NSO)","Data Processing Division","Other","IT / Digital Systems"
"National Statistical Office (NSO)","Data Processing Division","Other","Database Management"
"National Statistical Office (NSO)","Data Processing Division","Other","AI / Machine Learning"
"National Statistical Office (NSO)","Data Processing Division","Other","Cyber Security"
"National Statistical Office (NSO)","Data Processing Division","Other","e-Governance"
"National Statistical Office (NSO)","Data Processing Division","Other","Learning & Development"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Statistical Analysis"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Data Analysis"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Survey Operations"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Sampling"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Data Quality & Validation"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Research & Analysis"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Economic Statistics"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Social Statistics"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Demographic Statistics"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Statistical Computing"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Data Management"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Data Governance"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Policy Analysis"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Programme Management"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Monitoring & Evaluation"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Training & Capacity Building"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Administration"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Finance & Accounts"
"National Statistical Commission (NSC)","Policy and Coordination","Director","IT / Digital Systems"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Database Management"
"National Statistical Commission (NSC)","Policy and Coordination","Director","AI / Machine Learning"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Cyber Security"
"National Statistical Commission (NSC)","Policy and Coordination","Director","e-Governance"
"National Statistical Commission (NSC)","Policy and Coordination","Director","Learning & Development"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Statistical Analysis"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Data Analysis"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Survey Operations"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Sampling"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Data Quality & Validation"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Research & Analysis"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Economic Statistics"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Social Statistics"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Demographic Statistics"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Statistical Computing"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Data Management"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Data Governance"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Policy Analysis"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Programme Management"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Monitoring & Evaluation"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Training & Capacity Building"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Administration"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Finance & Accounts"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","IT / Digital Systems"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Database Management"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","AI / Machine Learning"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Cyber Security"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","e-Governance"
"National Statistical Commission (NSC)","Policy and Coordination","Deputy Director","Learning & Development"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Statistical Analysis"
"National Statistical Commission (NSC)","Policy and Coordination","Senior Statistical Officer","Data Analysis"
